,Area,Forecast
0,Ang Mo Kio,Partly Cloudy (Night)
1,Bedok,Partly Cloudy (Night)
2,Bishan,Partly Cloudy (Night)
3,Boon Lay,Partly Cloudy (Night)
4,Bukit Batok,Partly Cloudy (Night)
5,Bukit Merah,Partly Cloudy (Night)
6,Bukit Panjang,Partly Cloudy (Night)
7,Bukit Timah,Partly Cloudy (Night)
8,Central Water Catchment,Partly Cloudy (Night)
9,Changi,Partly Cloudy (Night)
10,Choa Chu Kang,Partly Cloudy (Night)
11,Clementi,Partly Cloudy (Night)
12,City,Partly Cloudy (Night)
13,Geylang,Partly Cloudy (Night)
14,Hougang,Partly Cloudy (Night)
15,Jalan Bahar,Partly Cloudy (Night)
16,Jurong East,Partly Cloudy (Night)
17,Jurong Island,Partly Cloudy (Night)
18,Jurong West,Partly Cloudy (Night)
19,Kallang,Partly Cloudy (Night)
20,Lim Chu Kang,Partly Cloudy (Night)
21,Mandai,Partly Cloudy (Night)
22,Marine Parade,Partly Cloudy (Night)
23,Novena,Partly Cloudy (Night)
24,Pasir Ris,Partly Cloudy (Night)
25,Paya Lebar,Partly Cloudy (Night)
26,Pioneer,Partly Cloudy (Night)
27,Pulau Tekong,Partly Cloudy (Night)
28,Pulau Ubin,Partly Cloudy (Night)
29,Punggol,Partly Cloudy (Night)
30,Queenstown,Partly Cloudy (Night)
31,Seletar,Partly Cloudy (Night)
32,Sembawang,Partly Cloudy (Night)
33,Sengkang,Partly Cloudy (Night)
34,Sentosa,Partly Cloudy (Night)
35,Serangoon,Partly Cloudy (Night)
36,Southern Islands,Partly Cloudy (Night)
37,Sungei Kadut,Partly Cloudy (Night)
38,Tampines,Partly Cloudy (Night)
39,Tanglin,Partly Cloudy (Night)
40,Tengah,Partly Cloudy (Night)
41,Toa Payoh,Partly Cloudy (Night)
42,Tuas,Partly Cloudy (Night)
43,Western Islands,Partly Cloudy (Night)
44,Western Water Catchment,Partly Cloudy (Night)
45,Woodlands,Partly Cloudy (Night)
46,Yishun,Partly Cloudy (Night)
